PA,SZ,AG,Sex,TOD,Pop,Time
Downtown Core,Bayfront Subzone,70_to_74,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,Others,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Males,Others,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,75_to_79,Females,Others,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Males,Others,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,80_to_84,Females,Others,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Males,Others,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
